timestamp x_robot y_robot z_robot roll_robot pitch_robot yaw_robot x_rgbd y_rgbd z_rgbd roll_rgbd pitch_rgbd yaw_rgbd
1789254424037 0.0020 -0.0347 0.0601 30.0000 1.3676 1.0011 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254430497 0.0020 0.0003 0.0610 30.0000 1.3679 2.0022 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254436058 0.0014 0.0353 0.0618 30.0000 1.3679 4.0044 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254441844 -0.0004 0.0703 0.0626 30.0000 1.3679 6.0067 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254447375 -0.0035 0.1051 0.0635 30.0000 1.3679 8.0089 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254452937 -0.0078 0.1399 0.0643 30.0000 1.3679 10.0111 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254458439 -0.0133 0.1745 0.0652 30.0000 1.3679 12.0133 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254464066 -0.0200 0.2088 0.0660 30.0000 1.3679 14.0156 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254469671 -0.0279 0.2429 0.0668 30.0000 1.3679 16.0178 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254475233 -0.0369 0.2768 0.0677 30.0000 1.3679 18.0200 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254480636 -0.0472 0.3102 0.0685 30.0000 1.3679 20.0222 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254486030 -0.0586 0.3433 0.0693 30.0000 1.3679 22.0245 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254491392 -0.0712 0.3760 0.0702 30.0000 1.3679 24.0267 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254496946 -0.0849 0.4082 0.0710 30.0000 1.3679 26.0289 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254502706 -0.0997 0.4400 0.0718 30.0000 1.3679 28.0311 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254508599 -0.1156 0.4712 0.0727 30.0000 1.3679 30.0334 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254514316 -0.1326 0.5018 0.0735 30.0000 1.3679 32.0356 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254520167 -0.1507 0.5318 0.0743 30.0000 1.3679 34.0378 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254525910 -0.1698 0.5611 0.0752 30.0000 1.3679 36.0400 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254531428 -0.1899 0.5898 0.0760 30.0000 1.3679 38.0423 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254536954 -0.2110 0.6177 0.0768 30.0000 1.3679 40.0445 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254542628 -0.2331 0.6449 0.0777 30.0000 1.3679 42.0467 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254548294 -0.2561 0.6713 0.0785 30.0000 1.3679 44.0489 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254553915 -0.2800 0.6969 0.0793 30.0000 1.3679 46.0512 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254559536 -0.3048 0.7216 0.0802 30.0000 1.3679 48.0534 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254565444 -0.3304 0.7455 0.0810 30.0000 1.3679 50.0556 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254571322 -0.3569 0.7684 0.0818 30.0000 1.3679 52.0578 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254577335 -0.3841 0.7904 0.0827 30.0000 1.3679 54.0601 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254583237 -0.4121 0.8114 0.0835 30.0000 1.3679 56.0623 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254588964 -0.4408 0.8315 0.0843 30.0000 1.3679 58.0645 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254594568 -0.4702 0.8505 0.0852 30.0000 1.3679 60.0667 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254600296 -0.5002 0.8685 0.0860 30.0000 1.3679 62.0690 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254606451 -0.5309 0.8854 0.0868 30.0000 1.3679 64.0712 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254612171 -0.5621 0.9013 0.0877 30.0000 1.3679 66.0734 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254617745 -0.5939 0.9160 0.0885 30.0000 1.3679 68.0756 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254623491 -0.6261 0.9297 0.0893 30.0000 1.3679 70.0779 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254629158 -0.6588 0.9422 0.0902 30.0000 1.3679 72.0801 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254634846 -0.6919 0.9535 0.0910 30.0000 1.3679 74.0823 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254640389 -0.7254 0.9637 0.0918 30.0000 1.3679 76.0845 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254645847 -0.7593 0.9727 0.0927 30.0000 1.3679 78.0868 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254651282 -0.7934 0.9805 0.0935 30.0000 1.3679 80.0890 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254656702 -0.8278 0.9871 0.0943 30.0000 1.3679 82.0912 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254662165 -0.8624 0.9925 0.0952 30.0000 1.3679 84.0934 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254667610 -0.8972 0.9967 0.0960 30.0000 1.3679 86.0957 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254673059 -0.9320 0.9997 0.0969 30.0000 1.3679 88.0979 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789254678601 -0.9670 1.0015 0.0977 30.0000 1.3679 90.1001 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
